codigo_predial,manzent,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
151600050900008,13132011002009,307189,V1313210218,EDUARDO MARQUINA,CALLE,2,4,"[-70.59167911636354, -33.39890353541543]","POLYGON((-70.59167911636354 -33.39890353541543, -70.59176492769669 -33.39924612629999, -70.59144929986924 -33.399301746858335, -70.59136348970222 -33.39895915572327, -70.59167911636354 -33.39890353541543))"
151600050900008,13132011002009,307190,V1313210218,EDUARDO MARQUINA,CALLE,2,4,"[-70.59167911636354, -33.39890353541543]","POLYGON((-70.59167911636354 -33.39890353541543, -70.59176492769669 -33.39924612629999, -70.59144929986924 -33.399301746858335, -70.59136348970222 -33.39895915572327, -70.59167911636354 -33.39890353541543))"
151600050900008,13132011002009,308369,V1313210490,SAN PATRICIO,CALLE,2,4,"[-70.59167911636354, -33.39890353541543]","POLYGON((-70.59167911636354 -33.39890353541543, -70.59176492769669 -33.39924612629999, -70.59144929986924 -33.399301746858335, -70.59136348970222 -33.39895915572327, -70.59167911636354 -33.39890353541543))"
151600050900301,13132011002009,306964,V1313210167,CANDELARIA GOYENECHEA,CALLE,4,4,"[-70.5926715639189, -33.39951929178691]","POLYGON((-70.5926715639189 -33.39951929178691, -70.59266077179413 -33.39946405726968, -70.59297904478987 -33.39942030600363, -70.59298983710836 -33.399475540487735, -70.5926715639189 -33.39951929178691))"
151600050900301,13132011002009,306967,V1313210167,CANDELARIA GOYENECHEA,CALLE,4,4,"[-70.5926715639189, -33.39951929178691]","POLYGON((-70.5926715639189 -33.39951929178691, -70.59266077179413 -33.39946405726968, -70.59297904478987 -33.39942030600363, -70.59298983710836 -33.399475540487735, -70.5926715639189 -33.39951929178691))"
151600051300008,13132011002003,306672,V1313210075,ALONSO DE SOTOMAYOR,CALLE,1,6,"[-70.59112122162273, -33.396946299764004]","POLYGON((-70.59112122162273 -33.396946299764004, -70.59076355109148 -33.39678891553284, -70.59091337258685 -33.39654935645803, -70.59127104237005 -33.39670674028407, -70.59112122162273 -33.396946299764004))"
151600051700001,13132011001014,306701,V1313210085,ANTONIO DE PASTRANA,CALLE,3,5,"[-70.59860639310227, -33.40302362466429]","POLYGON((-70.59860639310227 -33.40302362466429, -70.59899081589096 -33.402984039530104, -70.5990301190081 -33.40325254350833, -70.59864569506443 -33.40329212879739, -70.59860639310227 -33.40302362466429))"
151600051700001,13132011001014,306260,V1313210049,NUEVA COSTANERA,AVENIDA,4,5,"[-70.59855002289723, -33.40262880404615]","POLYGON((-70.59855002289723 -33.40262880404615, -70.59860639310227 -33.40302362466429, -70.59828614945404 -33.40305578950962, -70.59822978066515 -33.402660968705405, -70.59855002289723 -33.40262880404615))"
151600051700001,13132011001014,306249,V1313210049,NUEVA COSTANERA,AVENIDA,4,5,"[-70.59855002289723, -33.40262880404615]","POLYGON((-70.59855002289723 -33.40262880404615, -70.59860639310227 -33.40302362466429, -70.59828614945404 -33.40305578950962, -70.59822978066515 -33.402660968705405, -70.59855002289723 -33.40262880404615))"
151600051700002,13132011001014,306791,V1313210120,AURELIO GONZALEZ,CALLE,1,4,"[-70.599263554592, -33.40295797772735]","POLYGON((-70.599263554592 -33.40295797772735, -70.59920535237556 -33.40256309088667, -70.59952544540013 -33.40252990101519, -70.59958364903055 -33.40292478766521, -70.599263554592 -33.40295797772735))"
