manzent,predios_estrategicos,num_predios_estrategicos,tipo_control,num_combis_consideradas,num_combis_disponibles,num_predios_considerados,num_predios_disponibles
13120101004001,"[151050391200004, 151050391200005]",2,sin_control,7,7,12,12
13120101004003,[151050391600024],1,sin_control,15,15,8,8
13120101004004,"[151050391900126, 151050391900127]",2,sin_control,6,6,12,12
13120101005002,[151050511900009],1,sin_control,4,4,6,6
13120101006001,"[151050392000031, 151050392000057]",2,sin_control,5,5,9,9
13120101006004,"[151050512700037, 151050512700038, 151050512700039]",3,sin_control,4,4,11,11
13120101006005,"[151050512300005, 151050512300006]",2,sin_control,6,6,13,13
13120101008003,[151050580200018],1,con_control,2,2,10,10
13120101008006,"[151050590200019, 151050590200020, 151050590200021, 151050590200022]",4,sin_control,1,1,4,4
13120101008007,"[151050600200001, 151050600200002, 151050600200003, 151050600200010]",4,sin_control,1,1,4,4
13120101008008,[151050600300019],1,sin_control,42,42,21,21
13120111001002,"[151050093900001, 151050093900002, 151050093900003, 151050093900012, 151050093900013]",5,sin_control,2,2,8,8
13120111001003,[151050094100012],1,sin_control,11,11,21,21
13120111001004,[151050094300003],1,sin_control,17,17,23,23
13120111001005,"[151050094600028, 151050094600029]",2,sin_control,2,2,6,6
13120111001006,"[151050120500028, 151050120500029, 151050120500030]",3,sin_control,1,1,3,3
13120111001007,[151050120600007],1,sin_control,45,45,17,17
13120111001008,[151050140700003],1,con_control,6,6,8,8
13120111001009,"[151050120700003, 151050120700004]",2,sin_control,6,6,8,8
13120111001010,[151050080700012],1,con_control,5,5,7,7
13120111001011,[151050080600008],1,sin_control,11,11,16,16
13120111001012,[151050070600020],1,sin_control,8,8,8,8
13120111001014,[151050000500012],1,sin_control,15,15,9,9
13120111001015,"[151050000400043, 151050000400044, 151050000400050, 151050000400051]",4,sin_control,2,2,5,5
13120111001017,[151050095200015],1,sin_control,20,20,15,15
13120111001018,[151050095100006],1,sin_control,29,29,16,16
13120111001019,[151050095000029],1,sin_control,8,8,8,8
