codigo_predial,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle
151600042390014,307918,V1313210362,LOS COLIGUES,CALLE
151600042390014,306314,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042390035,307258,V1313210234,EL PANGUE,CALLE
151600042390102,306338,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042390102,305626,V1313210003,ALONSO DE CORDOVA,AVENIDA
151600042390102,305709,V1313210007,AVENIDA ALONSO DE CORDOVA,AVENIDA
151600042390102,306317,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042390102,307258,V1313210234,EL PANGUE,CALLE
151600042390102,307918,V1313210362,LOS COLIGUES,CALLE
151600042390102,305660,V1313210005,AMERICO VESPUCIO NORTE,AVENIDA
151600042390102,305847,V1313210019,AVENIDA PRESIDENTE KENNEDY,AVENIDA
151600042390102,306314,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042390102,306333,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042500006,307221,V1313210225,EL CLONQUI,CALLE
151600042500006,305612,V1313210003,ALONSO DE CORDOVA,AVENIDA
151600042500014,307221,V1313210225,EL CLONQUI,CALLE
151600042500014,307258,V1313210234,EL PANGUE,CALLE
151600042590016,306317,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042590016,307221,V1313210225,EL CLONQUI,CALLE
151600042590016,307258,V1313210234,EL PANGUE,CALLE
151600042590016,306314,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042590016,306333,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042590093,306324,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042590093,307221,V1313210225,EL CLONQUI,CALLE
151600042590093,306333,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042590224,307221,V1313210225,EL CLONQUI,CALLE
151600042590224,307258,V1313210234,EL PANGUE,CALLE
151600042700001,306324,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042700001,307947,V1313210369,LOS LAURELES,CALLE
151600042700002,307947,V1313210369,LOS LAURELES,CALLE
151600042700003,307947,V1313210369,LOS LAURELES,CALLE
151600042700004,307947,V1313210369,LOS LAURELES,CALLE
151600042700005,307947,V1313210369,LOS LAURELES,CALLE
151600042700006,307947,V1313210369,LOS LAURELES,CALLE
151600042700007,307947,V1313210369,LOS LAURELES,CALLE
151600042700011,307221,V1313210225,EL CLONQUI,CALLE
151600042700011,307947,V1313210369,LOS LAURELES,CALLE
151600042700012,307221,V1313210225,EL CLONQUI,CALLE
151600042700012,305612,V1313210003,ALONSO DE CORDOVA,AVENIDA
151600042700012,307947,V1313210369,LOS LAURELES,CALLE
151600042700013,307221,V1313210225,EL CLONQUI,CALLE
151600042700013,305612,V1313210003,ALONSO DE CORDOVA,AVENIDA
151600042700014,306324,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042700014,307947,V1313210369,LOS LAURELES,CALLE
151600042700015,306324,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042700015,307947,V1313210369,LOS LAURELES,CALLE
151600042700016,306324,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042700016,307947,V1313210369,LOS LAURELES,CALLE
151600042700017,306324,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042790027,306324,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600042790027,307221,V1313210225,EL CLONQUI,CALLE
