codigo_predial|manzent|bypassability|strategic_power
151600055300015|13132011003018|0.5873574375151662|23.0
151600055300018|13132011003018|0.625250501002004|100.0
151600055300019|13132011003018|0.9554857292484944|-583.0
151600055300022|13132011003018|0.9657064471879286|-673.0
151600055300004|13132011003018|0.7584313725490196|640.0
151600055300017|13132011003018|0.5962732919254659|100.0
151600055300029|13132011003018|1.0|-303.0
151600055300027|13132011003018|0.9204623170564902|263.0
151600055300009|13132011003018|0.0|-23.0
151600055300002|13132011003018|1.0|-423.0
151600055300013|13132011003018|0.9573244552058111|-641.0
151600055300008|13132011003018|0.0|-372.0
151600055100009|13132011003019|0.0|-737.0
151600055100015|13132011003019|0.9245450182730998|663.0
151600055100016|13132011003019|0.8846465235273163|185.0
151600055100017|13132011003019|0.9296555948815682|557.0
151600055100018|13132011003019|0.9862517130100349|-167.0
151600055100019|13132011003019|1.0|-478.0
151600055100014|13132011003019|1.0|157.0
151600055100013|13132011003019|0.9387886597938144|-367.0
151600055100012|13132011003019|0.912333433523695|-157.0
151600055100027|13132011003019|0.9597252281923403|-604.0
151600055100007|13132011003019|0.0|925.0
151600055100011|13132011003019|0.6684354673057172|1062.0
151600052500027|13132011003020|0.6652433817250214|512.5
151600052500022|13132011003020|0.804642166344294|-99.5
151600052500024|13132011003020|0.7954110898661568|-99.5
151600052500026|13132011003020|0.8834688346883469|-33.5
151600052500040|13132011003020|0.7645170952971886|1908.5
151600052500042|13132011003020|0.8885904705063166|918.5
151600052500043|13132011003020|0.9208920364650042|778.5
151600052500039|13132011003020|0.9214000825195984|871.5
151600052500018|13132011003020|0.0|-52.5
151600052500005|13132011003020|0.8793033616848926|26.5
151600052500007|13132011003020|0.8537331701346389|-111.5
151600052500009|13132011003020|0.7910405443719876|-65.5
151600052500011|13132011003020|0.8848949919224556|7.0
151600052500028|13132011003020|0.6680960548885078|502.5
151600052500020|13132011003020|0.8945868945868946|-69.5
151600052500021|13132011003021|0.8045230865877918|-33.0
151600052500006|13132011003021|0.8800387865355312|111.0
151600052500008|13132011003021|0.8003561535417492|-33.0
151600052500010|13132011003021|0.7996441632895127|33.0
151600052500023|13132011003021|0.7955274873175276|-33.0
151600052500025|13132011003021|0.8804994917961376|68.0
151600052500012|13132011003021|0.9567575945443273|87.0
151600052500019|13132011003021|0.9688237276710482|-40.0
151600050700028|13132011003022|0.9712378521645234|-11.0
151600050700029|13132011003022|0.9636702789127731|-79.0
151600050700030|13132011003022|0.9136384689881679|-79.0
151600050700033|13132011003022|0.9147479537979041|-65.0
151600050700034|13132011003022|0.9003199698851873|-79.0
151600050700035|13132011003022|0.982242810268288|-79.0
151600050700021|13132011003022|0.8832125121296878|792.0
151600050700022|13132011003022|0.9511999081410035|205.0
151600050700023|13132011003022|0.9927002499013547|-5.0
151600050700024|13132011003022|0.9671012589294294|-79.0
151600050700008|13132011003022|0.8988696573648888|1409.0
151600050700009|13132011003022|0.981599273057701|1409.0
151600050700010|13132011003022|1.0|599.0
151600050700011|13132011003022|1.0|599.0
151600050700012|13132011003022|0.9843548683968342|1024.0
151600050700013|13132011003022|0.9841012807301635|1031.0
151600050700025|13132011003022|0.9613014809209816|-45.0
151600050700026|13132011003022|0.9627584713651618|-20.0
151600050700027|13132011003022|0.9428379287155346|205.0
151600050700031|13132011003022|0.9790414978342881|-79.0
151600050700004|13132011003022|0.8432502057318687|680.0
151600050700005|13132011003022|0.8372133668903803|680.0
151600050700039|13132011003022|0.9455340764780584|-112.0
151600050700032|13132011003022|0.9423159707275075|-79.0
151600050700037|13132011003022|0.951661755075311|-112.0
151600050700038|13132011003022|0.9131647160474432|-112.0
151600050700040|13132011003022|0.9292059039604622|-77.0
151600050700041|13132011003022|0.9367879966657405|-77.0
151600050700042|13132011003022|0.941559424678274|-112.0
151600050700043|13132011003022|0.90501761319701|-112.0
151600050700044|13132011003022|0.9421313894727428|-112.0
151600050700045|13132011003022|0.9648706384998813|-33.0
151600050700036|13132011003022|0.9670299275322233|-29.0
151600050700046|13132011003022|0.8596180599468826|26.0
151600050700047|13132011003022|0.9337821129275999|16.0
151600050700048|13132011003022|0.77093969918587|460.0
151600050700049|13132011003022|0.77093969918587|460.0
151600050700001|13132011003022|0.7745406632018154|814.0
151600050700003|13132011003022|0.8145658393617269|770.0
151600050700006|13132011003022|0.8566926031714764|590.0
