id_combi,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
13132041005030_4741,306879,V1313210145,BUENAVENTURA,CALLE,4,9,"[-70.5698414565043, -33.386638927805976]","POLYGON((-70.5698414565043 -33.386638927805976, -70.5697565198855 -33.38662772990166, -70.56980658424135 -33.38636048659289, -70.56989152060372 -33.38637168447082, -70.5698414565043 -33.386638927805976))"
13132041005030_4741,306879,V1313210145,BUENAVENTURA,CALLE,5,9,"[-70.56988079556986, -33.3866665492971]","POLYGON((-70.56988079556986 -33.3866665492971, -70.5698414565043 -33.386638927805976, -70.57004843016333 -33.386431478023, -70.57008776919544 -33.386459099450185, -70.56988079556986 -33.3866665492971))"
13132041005030_4741,306879,V1313210145,BUENAVENTURA,CALLE,6,9,"[-70.57010699519678, -33.386769569916304]","POLYGON((-70.57010699519678 -33.386769569916304, -70.56988079556986 -33.3866665492971, -70.57003465547491 -33.386428803589865, -70.57026085464406 -33.386531823945035, -70.57010699519678 -33.386769569916304))"
13132041005030_4741,306879,V1313210145,BUENAVENTURA,CALLE,7,9,"[-70.57022501239344, -33.38682331975612]","POLYGON((-70.57022501239344 -33.38682331975612, -70.57010699519678 -33.386769569916304, -70.57026085512261 -33.38653182416299, -70.57037887208044 -33.386585573865034, -70.57022501239344 -33.38682331975612))"
13132041005030_4741,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,9,9,"[-70.56987811336084, -33.38711894328114]","POLYGON((-70.56987811336084 -33.38711894328114, -70.56998897800013 -33.387173439427265, -70.56982594713632 -33.387406844837315, -70.56971508229029 -33.387352348553144, -70.56987811336084 -33.38711894328114))"
13132041005030_4743,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,1,8,"[-70.56954104909464, -33.38695321506516]","POLYGON((-70.56954104909464 -33.38695321506516, -70.56977708348795 -33.38706817971703, -70.56961516519262 -33.38730212944597, -70.56937913035439 -33.38718716450246, -70.56954104909464 -33.38695321506516))"
13132041005030_4743,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,2,8,"[-70.5693184257464, -33.38684496898778]","POLYGON((-70.5693184257464 -33.38684496898778, -70.56954104909464 -33.38695321506516, -70.56937933954623 -33.3871872663054, -70.56915671577752 -33.387079019953326, -70.5693184257464 -33.38684496898778))"
13132041005030_4743,307279,V1313210242,EMBAJADOR DOUSSINAGUE,CALLE,3,8,"[-70.56944270143076, -33.38666878887707]","POLYGON((-70.56944270143076 -33.38666878887707, -70.5693184257464 -33.38684496898778, -70.56904090136207 -33.38670720017476, -70.56916517743348 -33.38653102032767, -70.56944270143076 -33.38666878887707))"
13132041005030_4743,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,8,8,"[-70.56977708348795, -33.38706817971703]","POLYGON((-70.56977708348795 -33.38706817971703, -70.56998897800013 -33.387173439427265, -70.56982466877817 -33.38740621313514, -70.56961277387579 -33.38730095315877, -70.56977708348795 -33.38706817971703))"
13132041005030_4790,306879,V1313210145,BUENAVENTURA,CALLE,1,4,"[-70.57010699519678, -33.386769569916304]","POLYGON((-70.57010699519678 -33.386769569916304, -70.56988079556986 -33.38666729582377, -70.57003379222907 -33.38642915838288, -70.570259991395 -33.38653143221302, -70.57010699519678 -33.386769569916304))"
13132041005030_4790,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,3,4,"[-70.56965012559459, -33.3870047252202]","POLYGON((-70.56965012559459 -33.3870047252202, -70.56987811336084 -33.38711819675837, -70.56971357097498 -33.38735085449192, -70.56948558278988 -33.387237382666946, -70.56965012559459 -33.3870047252202))"
13132041005030_4871,306879,V1313210145,BUENAVENTURA,CALLE,3,5,"[-70.57022501239344, -33.38682331975612]","POLYGON((-70.57022501239344 -33.38682331975612, -70.57000328311487 -33.38672253877921, -70.57015690335706 -33.386484683999285, -70.57037863218602 -33.38658546471782, -70.57022501239344 -33.38682331975612))"
13132041005030_4871,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,5,5,"[-70.56977708348795, -33.38706817971703]","POLYGON((-70.56977708348795 -33.38706817971703, -70.56998897800013 -33.387173439427265, -70.56982466877817 -33.38740621313514, -70.56961277387579 -33.38730095315877, -70.56977708348795 -33.38706817971703))"
13132041005030_4908,306879,V1313210145,BUENAVENTURA,CALLE,1,7,"[-70.5698414565043, -33.386638927805976]","POLYGON((-70.5698414565043 -33.386638927805976, -70.5697565198855 -33.38662772990166, -70.56980658424135 -33.38636048659289, -70.56989152060372 -33.38637168447082, -70.5698414565043 -33.386638927805976))"
13132041005030_4908,306879,V1313210145,BUENAVENTURA,CALLE,2,7,"[-70.56988079556986, -33.3866665492971]","POLYGON((-70.56988079556986 -33.3866665492971, -70.5698414565043 -33.386638927805976, -70.57004843016333 -33.386431478023, -70.57008776919544 -33.386459099450185, -70.56988079556986 -33.3866665492971))"
13132041005030_4908,306879,V1313210145,BUENAVENTURA,CALLE,3,7,"[-70.57000328311487, -33.386721792253]","POLYGON((-70.57000328311487 -33.386721792253, -70.56988079556986 -33.3866665492971, -70.57003349495027 -33.386428277612936, -70.57015598224505 -33.38648352042706, -70.57000328311487 -33.386721792253))"
13132041005030_4908,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,5,7,"[-70.56954104909464, -33.38695321506516]","POLYGON((-70.56954104909464 -33.38695321506516, -70.56977708348795 -33.38706743319379, -70.5696159534678 -33.387301765616606, -70.56937991862625 -33.387187547197904, -70.56954104909464 -33.38695321506516))"
13132041005030_4967,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,2,7,"[-70.56965012559459, -33.3870047252202]","POLYGON((-70.56965012559459 -33.3870047252202, -70.56987811336084 -33.38711819675837, -70.56971357097498 -33.38735085449192, -70.56948558278988 -33.387237382666946, -70.56965012559459 -33.3870047252202))"
13132041005030_4967,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,3,7,"[-70.5693184257464, -33.38684496898778]","POLYGON((-70.5693184257464 -33.38684496898778, -70.56965012559459 -33.3870047252202, -70.56948956551074 -33.387239332747775, -70.56915786502928 -33.38707957610932, -70.5693184257464 -33.38684496898778))"
13132041005030_4967,307279,V1313210242,EMBAJADOR DOUSSINAGUE,CALLE,4,7,"[-70.56944270143076, -33.38666878887707]","POLYGON((-70.56944270143076 -33.38666878887707, -70.5693184257464 -33.38684496898778, -70.56904090136207 -33.38670720017476, -70.56916517743348 -33.38653102032767, -70.56944270143076 -33.38666878887707))"
13132041005030_5100,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,1,6,"[-70.56954104909464, -33.38695321506516]","POLYGON((-70.56954104909464 -33.38695321506516, -70.56977708348795 -33.38706817971703, -70.56961516519262 -33.38730212944597, -70.56937913035439 -33.38718716450246, -70.56954104909464 -33.38695321506516))"
